City_ID,City,Lat,Lng,Max_temp,Humidity,Clouds,Wind,Country,Date
224,nouadhibou,20.93,-17.03,77.0,61,0,24.16,MR,1593359482
225,nyurba,63.28,118.33,65.95,57,49,3.87,RU,1593359482
226,havoysund,71.0,24.66,44.6,87,75,10.29,NO,1593359482
227,hoquiam,46.98,-123.89,57.0,87,90,3.36,US,1593359482
228,tuktoyaktuk,69.45,-133.04,39.2,93,75,4.7,CA,1593359482
229,choya,52.01,86.55,58.71,62,100,1.72,RU,1593359482
230,faanui,-16.48,-151.75,76.33,79,59,23.85,PF,1593359482
231,iquitos,-3.75,-73.25,82.4,78,40,4.7,PE,1593359483
232,palu,-0.89,119.87,74.73,83,100,0.56,ID,1593359483
233,fukue,32.69,128.84,75.24,78,50,7.83,JP,1593359483
234,hualmay,-11.1,-77.61,66.79,68,52,9.04,PE,1593359483
235,natal,-5.79,-35.21,84.2,66,75,10.29,BR,1593359370
236,souillac,-20.52,57.52,71.6,83,75,9.17,MU,1593359483
237,urumqi,43.8,87.6,64.4,52,20,17.9,CN,1593359483
238,yurecuaro,20.33,-102.3,77.81,54,62,2.39,MX,1593359483
239,vanavara,60.34,102.28,64.42,68,6,3.06,RU,1593359483
240,lodwar,3.12,35.6,91.22,31,9,10.27,KE,1593359484
241,kavieng,-2.57,150.8,82.53,79,35,12.33,PG,1593359484
242,vaasa,63.1,21.62,75.2,38,3,11.41,FI,1593359484
243,grindavik,63.84,-22.43,53.6,93,90,11.41,IS,1593359484
244,faya,18.39,42.45,87.8,11,75,13.87,SA,1593359484
245,chapleau,47.84,-83.4,75.6,46,0,7.25,CA,1593359484
246,auki,-8.77,160.7,78.53,78,94,3.71,SB,1593359484
247,kaabong,3.48,34.15,69.24,67,20,5.64,UG,1593359484
248,cururupu,-1.83,-44.87,84.29,74,72,6.29,BR,1593359299
249,zavodskoy,43.46,132.29,57.2,93,90,4.47,RU,1593359484
250,iwaki,37.05,140.88,64.99,88,0,1.01,JP,1593359485
251,sorland,67.67,12.69,57.2,82,33,12.75,NO,1593359485
252,charters towers,-20.1,146.27,62.1,90,55,10.67,AU,1593359485
253,aanekoski,62.69,25.82,73.99,35,14,8.05,FI,1593359485
